titulo,url,fecha,medio,fuente
 ¿ Es ilegal fingir autismo o una discapacidad en México ? Las posibles consecuencias legales para Samuel Obeso tras la denuncia del DIF Sonora,https://www.elimparcial.com/son/sonora/2026/03/05/es-ilegal-fingir-autismo-o-una-discapacidad-en-mexico-las-posibles-consecuencias-legales-para-samuel-obeso-tras-la-denuncia-del-dif-sonora/,2026-03-05,elimparcial.com,gdelt
Fortalece Gobierno de Sonora participación política de las mujeres sonorenses,https://www.tribuna.com.mx/sonora/2026/2/28/fortalece-gobierno-de-sonora-participacion-politica-de-las-mujeres-sonorenses-430859.html,2026-03-01,tribuna.com.mx,gdelt
Alfonso Durazo relanza nueva etapa de Telemax con estreno de  Tierra y Lucha : Machi López  ,https://www.tribuna.com.mx/sonora/2026/2/18/alfonso-durazo-relanza-nueva-etapa-de-telemax-con-estreno-de-tierra-lucha-machi-lopez-429951.html,2026-02-19,tribuna.com.mx,gdelt
Alfonso Durazo posiciona al bacanora como bebida premium internacional con primeras certificaciones,https://www.tribuna.com.mx/sonora/2026/2/10/alfonso-durazo-posiciona-al-bacanora-como-bebida-premium-internacional-con-primeras-certificaciones-429204.html,2026-02-11,tribuna.com.mx,gdelt
"Se accidenta Adolfo Salazar, Secretario de Gobierno de Sonora, en carretera a Guaymas",https://www.youtube.com/watch?v=aEIfOe8_Xhg,2026-02-11,YouTube,youtube
"Alfonso Durazo invita a vivir la experiencia del FAOT 2026 : música , arte y cultura",https://www.sdpnoticias.com/estados/sonora/alfonso-durazo-invita-a-vivir-la-experiencia-del-faot-2026-musica-arte-y-cultura/,2026-01-13,sdpnoticias.com,gdelt
Gobierno de Sonora invita a vivir el FAOT 2026 en Álamos ; Alfonso Durazo destaca gran programa e invitados,https://www.tribuna.com.mx/sonora/2026/1/12/gobierno-de-sonora-invita-vivir-el-faot-2026-en-alamos-alfonso-durazo-destaca-gran-programa-invitados-426208.html,2026-01-13,tribuna.com.mx,gdelt
"60 años , 60 historias : Claudia Pavlovich , primera gobernadora de Sonora",https://www.tribuna.com.mx/sonora/2026/1/1/60-anos-60-historias-claudia-pavlovich-primera-gobernadora-de-sonora-425113.html,2026-01-01,tribuna.com.mx,gdelt
"Alfonso Durazo desea un 2026 de esperanza , paz y nuevas oportunidades a familias sonorenses",https://www.tribuna.com.mx/sonora/2025/12/31/alfonso-durazo-desea-un-2026-de-esperanza-paz-nuevas-oportunidades-familias-sonorenses-425147.html,2026-01-01,tribuna.com.mx,gdelt
Alfonso Durazo reconoce a servidores públicos por décadas de servicio en el Día del Servidor Público,https://www.tribuna.com.mx/sonora/2025/12/17/alfonso-durazo-reconoce-servidores-publicos-por-decadas-de-servicio-en-el-dia-del-servidor-publico-423811.html,2025-12-18,tribuna.com.mx,gdelt
Gobiernos de Claudia Sheinbaum y Alfonso Durazo fortalecen al campo sonorense con títulos de concesión de agua,https://www.proceso.com.mx/brand-studio/2025/12/14/gobiernos-de-claudia-sheinbaum-alfonso-durazo-fortalecen-al-campo-sonorense-con-titulos-de-concesion-de-agua-364674.html,2025-12-15,proceso.com.mx,gdelt
Alfonso Durazo reconoce y fortalece a atletas sonorenses con 540 becas,https://www.proceso.com.mx/brand-studio/2025/12/13/alfonso-durazo-reconoce-fortalece-atletas-sonorenses-con-540-becas-364639.html,2025-12-14,proceso.com.mx,gdelt
Sonora : Alfonso Durazo reconoce a atletas sonorenses con 540 becas ; inversión es superior a los 16 mdp,https://www.tribuna.com.mx/sonora/2025/12/13/sonora-alfonso-durazo-reconoce-atletas-sonorenses-con-540-becas-inversion-es-superior-los-16-mdp-422382.html,2025-12-14,tribuna.com.mx,gdelt
Alfonso Durazo arranca Operativo Navideño en Sonora ; entregarán miles de apoyos para familias,https://www.tribuna.com.mx/sonora/2025/12/12/alfonso-durazo-arranca-operativo-navideno-en-sonora-entregaran-miles-de-apoyos-para-familias-422305.html,2025-12-13,tribuna.com.mx,gdelt
Alfonso Durazo y Sheinbaum fortalecen estrategia de seguridad : Esto y más en el Tribuna Top 3 Sonora,https://www.tribuna.com.mx/sonora/2025/12/12/alfonso-durazo-sheinbaum-fortalecen-estrategia-de-seguridad-estoy-mas-en-el-tribuna-top-sonora-422281.html,2025-12-13,tribuna.com.mx,gdelt
"Vinculan a proceso a exsecretario de Hacienda de Sonora , Primer Arrecife Artificial Sonorense y más en el Top 3 Sonora",https://www.tribuna.com.mx/sonora/2025/12/8/vinculan-proceso-exsecretario-de-hacienda-de-sonora-primer-arrecife-artificial-sonorense-mas-en-el-top-sonora-421813.html,2025-12-10,tribuna.com.mx,gdelt
"Procesan a exsecretario de Hacienda , avanza primer Arrecife Artificial y más en el Tribuna Top 3 Sonora",https://www.tribuna.com.mx/sonora/2025/12/8/procesan-exsecretario-de-hacienda-avanza-primer-arrecife-artificial-mas-en-el-tribuna-top-sonora-421813.html,2025-12-09,tribuna.com.mx,gdelt
